ESTADO_CIVIL,ESCOLARIDADE,N_FILHOS,SALARIO_MINIMO,IDADE,REGIAO
solteiro,ensino fundamental,,4.0,26,interior
casado,ensino fundamental,1.0,4.56,32,capital
casado,ensino fundamental,2.0,5.25,36,capital
solteiro,ensino médio,,5.73,20,outra
solteiro,ensino fundamental,,6.26,40,outra
casado,ensino fundamental,0.0,6.66,28,interior
solteiro,ensino fundamental,,6.86,41,interior
solteiro,ensino fundamental,,7.39,43,capital
casado,ensino médio,1.0,7.59,34,capital
solteiro,ensino médio,,7.44,23,outra
casado,ensino médio,2.0,8.12,33,interior
solteiro,ensino fundamental,,8.46,27,capital
solteiro,ensino médio,,8.74,37,outra
casado,ensino fundamental,3.0,8.95,44,outra
casado,ensino médio,0.0,9.13,30,interior
solteiro,ensino médio,,9.35,38,outra
casado,ensino médio,1.0,9.77,31,capital
casado,ensino fundamental,2.0,9.8,39,outra
solteiro,superior,,10.53,25,interior
solteiro,ensino médio,,10.76,37,interior
casado,ensino médio,1.0,11.06,30,outra
solteiro,ensino médio,,11.59,34,capital
solteiro,ensino fundamental,,12.0,41,outra
casado,superior,0.0,12.79,26,outra
casado,ensino médio,2.0,13.23,32,interior
casado,ensino médio,2.0,13.6,35,outra
solteiro,ensino fundamental,,13.85,46,outra
casado,ensino médio,0.0,14.69,29,interior
casado,ensino médio,5.0,14.71,40,interior
casado,ensino médio,2.0,15.99,35,capital
solteiro,superior,,16.22,31,outra
casado,ensino médio,1.0,16.61,36,interior
casado,superior,3.0,17.26,43,capital
solteiro,superior,,18.75,33,capital
casado,ensino médio,2.0,19.4,48,capital
casado,superior,3.0,23.3,42,interior
